;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
0;7776239591;2254;1717467407;9303484;Heroic;8254400;beastcoast;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880803;1;27;31;True;
1;7776218530;1963;1717465656;8849833;VERTEX PACK;8957156;Silent killer;16635;Dota 2 Space League;880797;1;22;40;False;21.0
2;7776189924;1915;1717463076;8957156;Silent killer;8849833;VERTEX PACK;16635;Dota 2 Space League;880797;1;29;42;False;21.0
3;7776188509;2113;1717463167;8254400;beastcoast;9303484;Heroic;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880803;1;12;28;False;21.0
4;7776165232;1607;1717460842;8849833;VERTEX PACK;8957156;Silent killer;16635;Dota 2 Space League;880797;1;11;26;False;21.0
5;7776125873;2365;1717457289;8970060;Moonwalkers;8849850;HELLBEAR HEROES;16635;Dota 2 Space League;880767;1;33;28;True;21.0
6;7776097165;2053;1717454920;9432799;Cuyes e-Sports;9337731;LEVIATAN;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880763;1;10;29;False;21.0
7;7776086345;2471;1717453967;8849850;HELLBEAR HEROES;8970060;Moonwalkers;16635;Dota 2 Space League;880767;1;38;37;True;21.0
8;7776070260;3232;1717452824;9448650;Orrai+4;7732977;BOOM Esports;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880765;1;21;51;False;21.0
9;7776053314;1498;1717451700;9432799;Cuyes e-Sports;9337731;LEVIATAN;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880763;1;7;28;False;21.0
10;7776039230;2005;1717450909;8970060;Moonwalkers;8849850;HELLBEAR HEROES;16635;Dota 2 Space League;880767;1;39;26;True;21.0
11;7776000427;2109;1717448960;7732977;BOOM Esports;9448650;Orrai+4;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880765;1;33;17;True;21.0
12;7775997030;1569;1717448650;9432799;Cuyes e-Sports;9337731;LEVIATAN;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880763;1;32;3;True;21.0
13;7775988759;3540;1717448343;8605863;Entity;1838315;Team Secret;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880723;1;26;20;True;21.0
14;7775978629;2480;1717447682;9025669;CrimsonSky;8936613;Wild Dragon;16635;Dota 2 Space League;880753;1;33;43;False;21.0
15;7775914189;1697;1717445001;8936613;Wild Dragon;9025669;CrimsonSky;16635;Dota 2 Space League;880753;1;35;23;True;21.0
16;7775887692;3037;1717443783;8605863;Entity;1838315;Team Secret;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880723;1;36;18;True;21.0
17;7775865499;1954;1717442934;9397016;Elite Eclips;9209880;Prodigy Of God;15901;Ultras Dota Pro League  2023-24;880731;1;59;43;True;21.0
18;7775840106;2189;1717441989;9443831;;9433231;Night foxes;15901;Ultras Dota Pro League  2023-24;880727;1;36;34;True;21.0
19;7775767104;2211;1717439363;9209880;Prodigy Of God;9397016;Elite Eclips;15901;Ultras Dota Pro League  2023-24;880731;1;35;45;False;21.0
20;7775739339;2132;1717438339;9438887;Elevate Gaming;7554697;Nigma Galaxy;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880701;1;19;37;False;21.0
21;7775735620;2517;1717438206;9303484;Heroic;9432799;Cuyes e-Sports;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880705;1;18;20;True;21.0
22;7775734340;2807;1717438207;9433231;Night foxes;9443831;;15901;Ultras Dota Pro League  2023-24;880727;1;42;67;False;21.0
23;7775715505;2151;1717437491;7732977;BOOM Esports;8254400;beastcoast;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880704;1;15;18;False;21.0
24;7775710330;4381;1717437602;1838315;Team Secret;8605863;Entity;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880723;1;33;30;True;21.0
25;7775626337;1913;1717434498;9389538;Dominion;9209880;Prodigy Of God;15901;Ultras Dota Pro League  2023-24;880684;1;49;34;True;21.0
26;7775618224;1994;1717434385;9432799;Cuyes e-Sports;9303484;Heroic;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880705;1;16;25;False;21.0
27;7775617560;1667;1717434194;7732977;BOOM Esports;8254400;beastcoast;16740;Riyadh Masters 2024 at Esports World Cup Qualifiers;880704;1;13;33;False;21.0
